2026-03-04 10:12:55.623 INFO  [6704] [ClientManager::CClientManagerRefactor::RegisterResultCallBack@774] Start.

2026-03-04 10:12:55.623 INFO  [6704] [CallbackManager::ICallbackManager::RegisterResultCallback@233] Start.

2026-03-04 10:12:55.623 INFO  [6704] [CallbackManager::ICallbackManager::RegisterResultCallback@247] End.

2026-03-04 10:12:55.623 INFO  [6704] [CallbackManager::ICallbackManager::RegisterResultCallback@233] Start.

2026-03-04 10:12:55.623 INFO  [6704] [CallbackManager::ICallbackManager::RegisterResultCallback@247] End.

2026-03-04 10:12:55.623 INFO  [6704] [CallbackManager::ICallbackManager::RegisterResultCallback@233] Start.

2026-03-04 10:12:55.623 INFO  [6704] [CallbackManager::ICallbackManager::RegisterResultCallback@247] End.

2026-03-04 10:12:55.623 INFO  [6704] [ClientManager::CClientManagerRefactor::RegisterResultCallBack@816] End.

2026-03-04 10:12:55.891 INFO  [6704] [ClientManager::CClientManagerRefactor::GetAllProcessList@4170] begin.

2026-03-04 10:12:55.891 INFO  [6704] [CommandManager::CServerCommandManager::GetAllProcessList@3678] start

2026-03-04 10:12:55.891 INFO  [6704] [CommandManager::CServerCommandManager::GetAllProcessList@3714] end

2026-03-04 10:12:55.891 INFO  [6704] [ClientManager::CClientManagerRefactor::GetAllProcessList@4205] end.

2026-03-04 10:12:57.425 INFO  [27072] [CommandManager::CServerCommandManager::CheckSolution@501] Start.

2026-03-04 10:12:57.425 INFO  [27072] [CommandManager::CServerCommandManager::CheckSolution@540] End.

2026-03-04 10:12:57.426 INFO  [27072] [CommandManager::CServerCommandManager::LoadSolution@1078] [Load Solution] begin

2026-03-04 10:12:57.426 INFO  [27072] [CommandManager::CServerCommandManager::CheckSolution@501] Start.

2026-03-04 10:12:57.426 INFO  [27072] [CommandManager::CServerCommandManager::CheckSolution@540] End.

2026-03-04 10:12:57.426 INFO  [27072] [CommandManager::CServerCommandManager::LoadSolution@1165] [Load Solution] m_bIsTool:[0]

2026-03-04 10:12:57.426 INFO  [27072] [CommandManager::CServerCommandManager::LoadSolution@1169] [Load Solution] Judge start.

2026-03-04 10:12:57.426 INFO  [27072] [CommandManager::CServerCommandManager::GetSolutionVersion@786] Start.

2026-03-04 10:12:57.426 INFO  [27072] [CommandManager::CServerCommandManager::GetSolutionVersion@804] SDK: UncompressOneFile start.

2026-03-04 10:12:57.426 INFO  [27072] [CommandManager::CServerCommandManager::GetSolutionVersion@816] SDK: UncompressOneFile end.

2026-03-04 10:12:57.454 INFO  [27072] [CommandManager::CServerCommandManager::GetSolutionVersion@876] End.

2026-03-04 10:12:57.454 INFO  [27072] [CommandManager::CServerCommandManager::LoadSolution@1179] [Load Solution] SM_GetSolutionVersion:[V5.0.0]

2026-03-04 10:12:57.454 INFO  [27072] [CommandManager::CServerCommandManager::LoadSolution@1200] [Load Solution] Judge end.

