2026-03-04 10:12:51.583 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:50.578 [1] [GlobalScript::Init]  ====================================================V4.4.0 GlobalScript Start Print Log====================================================

2026-03-04 10:55:28.403 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:28.400 [1] [GlobalScript::Init]  ====================================================V4.4.0 GlobalScript Start Print Log====================================================

2026-03-04 10:55:33.482 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:33.443 [3] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript begin

2026-03-04 10:55:33.482 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:33.451 [3] [UserGlobalScriptManger::compileGlobalScript] Compile begin

2026-03-04 10:55:34.488 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:33.753 [3] [UserGlobalScriptSupport::CompileCode] 2026-03-04 10:55:33:753 : Compile complete -- 0 Errors, 0 Warnings 


2026-03-04 10:55:34.488 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:33.880 [3] [UserGlobalScriptManger::updateBackFile] Update BackFile end

2026-03-04 10:55:34.488 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:33.880 [3] [UserGlobalScriptManger::compileGlobalScript] Compile end

2026-03-04 10:55:34.488 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:33.880 [3] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript end

2026-03-04 10:55:39.519 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:39.215 [26] [GlobalManager::HandleCmd] Receive:CloseScript

2026-03-04 10:55:39.521 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:39.218 [26] [GlobalManager::HandleCmd] Receive end:CloseScript

2026-03-04 10:55:40.522 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:39.971 [26] [GlobalManager::HandleCmd] Receive:LoadSolution

2026-03-04 10:55:40.522 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.038 [26] [UserGlobalScriptManger::readScriptDataFromMapFile] Load IsDefaultContent:[True]

2026-03-04 10:55:40.522 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.038 [26] [GlobalManager::HandleCmd] Receive end:LoadSolution

2026-03-04 10:55:40.522 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.043 [6] [UserGlobalScriptManger::compileGlobalScript] Compile begin

2026-03-04 10:55:40.522 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.044 [6] [UserGlobalScriptSupport::CompileCode] 2026-03-04 10:55:40:044 : Compile complete -- 0 Errors, 0 Warnings 


2026-03-04 10:55:40.524 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.052 [6] [UserGlobalScriptManger::updateBackFile] Update BackFile end

2026-03-04 10:55:40.524 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.052 [6] [UserGlobalScriptManger::compileGlobalScript] Compile end

2026-03-04 10:55:40.524 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.052 [26] [GlobalManager::HandleCmd] Receive:GetMsgToUI

2026-03-04 10:55:40.524 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.057 [26] [UserGlobalScriptManger::GetMsgToUI] GetRunState:0

2026-03-04 10:55:40.524 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.057 [26] [GlobalManager::HandleCmd] Receive end:GetMsgToUI

2026-03-04 10:55:40.524 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-12888-,2026-03-04 10:55:40.057 [26] [GlobalManager::HandleCmd] Receive:GetMsgToUI

